horizon_label,bucket_key,bucket_label,pct_of_simulations
1 Week,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Week,eval_fail_trailing_drawdown,Audition: max trailing drawdown,6.333333333333333
1 Week,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Week,eval_expire_unpassed,Audition: window ended (no pass),27.666666666666668
1 Week,pass_no_funded_days,"Passed eval, no funded days left in horizon",15.5
1 Week,funded_breach_before_first_payout,Funded: breach before 1st payout,2.6666666666666665
1 Week,funded_breach_after_payouts,Funded: breach after ≥1 payout,0.0
1 Week,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Week,funded_survived_segment,Funded: survived funded segment (no trail hit),47.833333333333336
1 Week,empty_pool,Empty pool,0.0
1 Month,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Month,eval_fail_trailing_drawdown,Audition: max trailing drawdown,6.0
1 Month,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Month,eval_expire_unpassed,Audition: window ended (no pass),0.0
1 Month,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
1 Month,funded_breach_before_first_payout,Funded: breach before 1st payout,9.833333333333334
1 Month,funded_breach_after_payouts,Funded: breach after ≥1 payout,64.66666666666667
1 Month,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Month,funded_survived_segment,Funded: survived funded segment (no trail hit),19.5
1 Month,empty_pool,Empty pool,0.0
1 Quarter,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
1 Quarter,eval_fail_trailing_drawdown,Audition: max trailing drawdown,4.5
1 Quarter,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
1 Quarter,eval_expire_unpassed,Audition: window ended (no pass),0.0
1 Quarter,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
1 Quarter,funded_breach_before_first_payout,Funded: breach before 1st payout,11.166666666666666
1 Quarter,funded_breach_after_payouts,Funded: breach after ≥1 payout,84.33333333333333
1 Quarter,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
1 Quarter,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
1 Quarter,empty_pool,Empty pool,0.0
6 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
6 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,3.6666666666666665
6 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
6 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
6 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
6 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,13.0
6 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,83.33333333333333
6 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
6 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
6 Months,empty_pool,Empty pool,0.0
12 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
12 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,5.833333333333333
12 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
12 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
12 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
12 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,7.666666666666667
12 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,86.5
12 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
12 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
12 Months,empty_pool,Empty pool,0.0
18 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
18 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,5.166666666666667
18 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
18 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
18 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
18 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,9.5
18 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,85.33333333333333
18 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
18 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
18 Months,empty_pool,Empty pool,0.0
24 Months,eval_insufficient_history,Audition: pool shorter than eval window (cannot score),0.0
24 Months,eval_fail_trailing_drawdown,Audition: max trailing drawdown,4.0
24 Months,eval_fail_daily_loss_limit,Audition: daily loss limit,0.0
24 Months,eval_expire_unpassed,Audition: window ended (no pass),0.0
24 Months,pass_no_funded_days,"Passed eval, no funded days left in horizon",0.0
24 Months,funded_breach_before_first_payout,Funded: breach before 1st payout,10.166666666666666
24 Months,funded_breach_after_payouts,Funded: breach after ≥1 payout,85.83333333333333
24 Months,funded_breach_zero_payouts,"Funded: breach, zero payouts (edge)",0.0
24 Months,funded_survived_segment,Funded: survived funded segment (no trail hit),0.0
24 Months,empty_pool,Empty pool,0.0
