month,pnl_usd
2020-01-01,-274.0
2020-02-01,6979.1930593601355
2020-03-01,41744.497412196455
2020-04-01,20264.96028111563
2020-05-01,5954.237810297305
2020-06-01,20073.805778956947
2020-07-01,13338.135849086166
2020-08-01,8376.454324696831
2020-09-01,20701.988369945495
2020-10-01,13595.971001157463
2020-11-01,13162.326927900025
2020-12-01,9177.65960221463
2021-01-01,16082.024827625984
2021-02-01,10466.953418992958
2021-03-01,14254.28777520337
2021-04-01,10174.977848731149
2021-05-01,13156.809220970408
2021-06-01,13169.619519081605
2021-07-01,12485.67679569621
2021-08-01,6293.667234849724
2021-09-01,15517.889935551659
2021-10-01,11052.352044530373
2021-11-01,10698.999999999989
2021-12-01,16644.832767757638
2022-01-01,14487.248958018288
2022-02-01,11565.365211911683
2022-03-01,14865.361473730825
2022-04-01,13983.285139916428
2022-05-01,21998.896617030357
2022-06-01,19686.21719668596
2022-07-01,13366.25808809428
2022-08-01,15361.202078701308
2022-09-01,11711.532646712129
2022-10-01,17876.29380886006
2022-11-01,10722.044820499348
2022-12-01,17459.95337586949
2023-01-01,12597.563987927953
2023-02-01,9518.233670673628
2023-03-01,15967.246996183816
2023-04-01,10852.523645467769
2023-05-01,17319.688406722613
2023-06-01,10181.262472126482
2023-07-01,9710.069366138352
2023-08-01,10855.288252187778
2023-09-01,9710.417211328
2023-10-01,12234.139807024323
2023-11-01,7413.9059536653
2023-12-01,2502.103253325687
2024-01-01,8363.003656676547
2024-02-01,6963.313000996579
2024-03-01,9930.902516622897
2024-04-01,17089.26430510137
2024-05-01,8412.613255373659
2024-06-01,10993.514627346449
2024-07-01,17390.073223617197
2024-08-01,18270.620104426922
2024-09-01,14188.321254759323
2024-10-01,14071.11476934249
2024-11-01,15904.52031228712
2024-12-01,12144.851025322303
2025-01-01,14778.21474567017
2025-02-01,15804.408862562965
2025-03-01,24956.997810035868
2025-04-01,30691.665907894683
2025-05-01,12552.44446470517
2025-06-01,13874.020626418951
2025-07-01,17698.508173171485
2025-08-01,18392.154206015246
2025-09-01,14557.504332811333
2025-10-01,29306.499298504128
2025-11-01,22075.161712270434
2025-12-01,26068.185822347292
2026-01-01,39773.30911393121
2026-02-01,30948.45021042335
2026-03-01,19453.911118615833
