period_months,trader_id,start_date,audition_attempts,auditions_passed,auditions_failed,aud_fail_trailing,aud_fail_dll,aud_expire,funded_accounts,funded_failed,funded_failed_before_first,funded_failed_after_payout,funded_survived_segment,total_payout_events,total_fees,total_payout_amount,net_profit,roi_pct
6.0,Trader_1,2020-01-02,5,5,0,0,0,0,5,4,0,4,1,8,1939.0,49293.76001883001,47354.76001883001,2442.2258906049515
6.0,Trader_2,2020-01-03,5,5,0,0,0,0,5,4,0,4,1,7,1939.0,61732.14570149667,59793.14570149667,3083.7104539193747
6.0,Trader_3,2020-01-04,4,4,0,0,0,0,4,3,0,3,1,10,1790.0,63513.9207282327,61723.9207282327,3448.2637278342286
6.0,Trader_4,2020-01-05,5,5,0,0,0,0,5,4,0,4,1,7,1939.0,39250.80408125624,37311.80408125624,1924.2807674706673
6.0,Trader_5,2020-01-06,6,5,1,0,0,1,5,5,0,5,0,11,2088.0,70177.24509361328,68089.24509361328,3260.9791711500616
6.0,Trader_6,2020-01-07,3,3,0,0,0,0,3,2,0,2,1,7,1641.0,67013.83474305758,65372.83474305758,3983.719362770115
6.0,Trader_7,2020-01-08,4,4,0,0,0,0,4,3,0,3,1,10,1790.0,60228.73406798678,58438.73406798678,3264.7337468149035
6.0,Trader_8,2020-01-09,5,5,0,0,0,0,5,4,0,4,1,7,1939.0,40513.30041572926,38574.30041572926,1989.3914603264188
6.0,Trader_9,2020-01-10,9,6,3,2,0,1,6,6,1,5,0,5,2535.0,88927.34784613519,86392.34784613519,3407.982163555629
6.0,Trader_10,2020-01-11,5,5,0,0,0,0,5,4,0,4,1,8,1939.0,44403.1860223914,42464.1860223914,2190.0044364307064
